Model,Accuracy,ROC-AUC,Precision,F1-Score,Recall,KFCV,Mean Scores
GBC,1.0,1.0,1.0,1.0,1.0,0.9976241375410023,1.0
RFC,0.9985580389329488,0.9999955290277871,0.9985724482512491,0.9985902479732952,0.9986139986139987,0.9961955661124307,0.9988660525598558
ETC,0.9978370583994232,0.9999988822569468,0.9978632478632479,0.9978854357712291,0.997920997920998,0.9980958036421217,0.998301124442369
XGB,0.9971160778658976,1.0,0.9971570717839375,0.9971806598030932,0.9972279972279973,0.997860536138446,0.9977363613361853
MLP,0.9949531362653208,0.9988286052802181,0.9950564971751413,0.995066502018063,0.9951489951489951,0.9964313991629907,0.9958107471775477
DTC,0.9942321557317952,0.9958241119531442,0.9943442470294633,0.9943615968720572,0.994432149270859,0.9919155072955548,0.9946388521714639
CBC,0.9906272530641672,0.9999619967361904,0.9908874187973061,0.9908383628099213,0.9909671458058554,0.9928627983259812,0.9926564354426881
SVM,0.9899062725306417,0.999997019351858,0.9902574808629089,0.9901338530119909,0.9902979902979903,0.9914359235380612,0.992118523211078
LRG,0.9819754866618601,0.9985046929747391,0.9829931972789115,0.9823803643502247,0.9826749826749827,0.9835855672435244,0.9857057447881437
ADB,0.9812545061283345,0.9997853933337805,0.9824500811111859,0.9816506643390553,0.9814335427238653,0.9890555367039926,0.9853148375272444
KNN,0.9300648882480173,0.9832399396915527,0.9306025354459043,0.9293134672677376,0.9313332170475027,0.9552793801606152,0.9409108095401428
GNB,0.8565248738284066,0.9682187580805093,0.9001004016064257,0.860925427539688,0.8569385712242855,0.8627214116050222,0.888541606455863
