Model,Accuracy,ROC-AUC,Precision,F1-Score,Recall,KFCV,Mean Scores
GBC,0.9942321557317952,0.9993979090753284,0.9943379836367727,0.9943613196061865,0.9944083040857233,0.9928684537948197,0.9953475344271613
XGB,0.9942321557317952,0.999366612269838,0.9943379836367727,0.9943613196061865,0.9944083040857233,0.9933440787241263,0.9953412750660633
MLP,0.9935111751982696,0.998558484042355,0.9936349007688182,0.9936566476120229,0.9937153033927227,0.9926297930098403,0.9946153022028377
RFC,0.992790194664744,0.9991735696804821,0.9929284395631903,0.9929516495077331,0.9929984575145866,0.9935804773215701,0.9941684621861473
ETC,0.992790194664744,0.9970144719760695,0.9929337678574356,0.992951239866476,0.9929746123294511,0.9909653885307093,0.9937328573388353
DTC,0.9920692141312184,0.996200418781064,0.9922359322842156,0.9922461125312165,0.9922577664513148,0.9904903291482864,0.993001888835806
KNN,0.9834174477289113,0.9963928834896576,0.9841240088662769,0.9837722625269745,0.9839742816701342,0.9862023526750369,0.9863361768563909
CBC,0.9798125450612833,0.9978941720877205,0.9804529094851676,0.9802677942212825,0.9804529094851676,0.9857261621988463,0.9837760660681243
SVM,0.9747656813266041,0.9964008673686093,0.9760604324104915,0.9753314073800889,0.9756495950044338,0.976208008143875,0.9796415966980454
LRG,0.9733237202595529,0.9935860608671669,0.9752526158445441,0.9739147769934027,0.9743351291738388,0.9726388417599818,0.9780824606277012
ADB,0.9545782263878875,0.9967175612336904,0.9577003572330675,0.9554627415769632,0.9551486970841809,0.9685912227123629,0.963921516703158
GNB,0.8543619322278299,0.9609001922365978,0.8990504747626188,0.85881443153058,0.8546709975281405,0.8603444180522566,0.8855596056571533
